id,category,question,answer
922,use_cases,How do VPs of sales in retail use Bellrock CRM?,"Vps of sales at retail companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. retail-specific pipeline templates ship in the marketplace."
923,features,Does custom objects work for international users?,"Yes — custom objects respects user locale, timezone and currency settings. Multi-currency support requires the Pro plan or higher."
924,integrations,Is the Greenhouse integration on every plan?,Greenhouse is available on the Growth plan and above. Some advanced field mappings and webhook hooks require Pro.
925,integrations,Where do I troubleshoot Asana sync errors?,Settings → Integrations → Asana → Health surfaces the last 100 errors with a Retry button. Persistent 401 errors usually mean the auth token was revoked on the Asana side.
926,features,Can I customize lead routing in Bellrock CRM?,"Yes — admins configure lead routing under Settings → Workflow → Lead Routing. Common customizations include thresholds, custom-field mappings and per-team overrides."
927,integrations,Is the Jira integration on every plan?,Jira is available on the Growth plan and above. Some advanced field mappings and webhook hooks require Pro.
928,api,What's the rate limit on /products?,"API endpoints share a per-token rate limit of 100 req/min on Growth, 500 on Pro and 2000 on Enterprise. /products respects this shared limit."
929,use_cases,How do sales managers in media use Bellrock CRM?,"Sales managers at media companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. media-specific pipeline templates ship in the marketplace."
930,use_cases,How do RevOps leaders in SaaS use Bellrock CRM?,"Revops leaders at SaaS companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. SaaS-specific pipeline templates ship in the marketplace."
931,mobile,Does the mobile app support push notifications?,"Yes — get notified on @-mentions, new lead assignments, deal stage changes and meeting reminders."
932,troubleshooting,Why am I getting 'contact owner reassignment failing'?,"If you're hitting 'contact owner reassignment failing', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
933,features,Where do I enable territory management?,Open Settings → Territory Management → Enable. The first run takes about 60 seconds to backfill historical records.
934,security,Is the audit log exportable?,Yes — audit logs export as CSV or JSONL via the UI and API. Real-time SIEM streaming to Splunk and Datadog is available on Enterprise.
935,misc,Is multi-language UI supported?,"The UI is available in English, Spanish, French, German, Portuguese, Japanese, Korean and Simplified Chinese."
936,security,Where is my data stored?,Customer data is stored in AWS us-east-1 by default. EU customers can opt into eu-west-1 residency on the Pro plan; APAC residency in ap-southeast-1 is on Enterprise.
937,features,Where do I enable forecasting?,Open Settings → Forecasting → Enable. The first run takes about 60 seconds to backfill historical records.
938,integrations,How do I connect Intercom to Bellrock CRM?,Go to Settings → Integrations → Intercom → Connect. Sign in with an admin account on Intercom and authorize the OAuth scopes. Initial sync takes 5–15 minutes.
939,api,How do I authenticate to /companies?,Send the `Authorization: Bearer <token>` header with a personal API token from Settings → API or an OAuth2 access token. /companies accepts both.
940,integrations,Is the Slack integration on every plan?,Slack is available on the Growth plan and above. Some advanced field mappings and webhook hooks require Pro.
941,use_cases,How do marketing managers in retail use Bellrock CRM?,"Marketing managers at retail companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. retail-specific pipeline templates ship in the marketplace."
942,features,Is meeting scheduler available on the free trial?,Meeting Scheduler is available during the 14-day Growth-tier trial. Starter plans do not include it.
943,features,Does contact enrichment work for international users?,"Yes — contact enrichment respects user locale, timezone and currency settings. Multi-currency support requires the Pro plan or higher."
944,use_cases,Can you share a customer story for automotive marketing managers?,"Several automotive customers run their full revenue cycle on Bellrock CRM. A typical marketing managers success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/automotive."
